url,label,category,reason
https://www.india.gov.in,SAFE,government,Official Indian government portal
https://www.odisha.gov.in,SAFE,government,Official Odisha state government website
https://www.incometax.gov.in,SAFE,government,Official Income Tax Department website
https://www.uidai.gov.in,SAFE,government,Official Aadhaar authority (UIDAI) website
https://www.mygov.in,SAFE,government,Official citizen engagement platform of the Government of India
https://www.epfindia.gov.in,SAFE,government,Official EPFO (retirement fund) website
https://www.passportindia.gov.in,SAFE,government,Official Passport Seva website
https://www.digilocker.gov.in,SAFE,government,Official DigiLocker document wallet website
https://www.indiapost.gov.in,SAFE,government,Official India Post website
https://www.iitb.ac.in,SAFE,education,Official IIT Bombay website
https://www.ugc.ac.in,SAFE,education,Official UGC (University Grants Commission) website
https://www.nios.ac.in,SAFE,education,Official NIOS (National Institute of Open Schooling) website
https://www.aicte-india.org,SAFE,education,Official AICTE website
https://swayam.gov.in,SAFE,education,Official government MOOC platform
https://www.coursera.org,SAFE,education,Well-known legitimate online course platform
https://www.nptel.ac.in,SAFE,education,Official NPTEL online course platform
https://www.sbi.co.in,SAFE,banking,Official State Bank of India website
https://www.hdfcbank.com,SAFE,banking,Official HDFC Bank website
https://www.icicibank.com,SAFE,banking,Official ICICI Bank website
https://www.rbi.org.in,SAFE,banking,Official Reserve Bank of India website
https://www.axisbank.com,SAFE,banking,Official Axis Bank website
https://www.pnbindia.in,SAFE,banking,Official Punjab National Bank website
https://www.npci.org.in,SAFE,banking,Official NPCI (UPI infrastructure) website
https://www.nseindia.com,SAFE,banking,Official National Stock Exchange website
https://www.bseindia.com,SAFE,banking,Official Bombay Stock Exchange website
https://www.zerodha.com,SAFE,banking,Well-known legitimate stockbroking platform
https://www.paytm.com,SAFE,banking,Official Paytm digital payments website
https://www.amazon.in,SAFE,ecommerce,Official Amazon India website
https://www.flipkart.com,SAFE,ecommerce,Official Flipkart website
https://www.myntra.com,SAFE,ecommerce,Official Myntra website
https://www.meesho.com,SAFE,ecommerce,Official Meesho website
https://www.ajio.com,SAFE,ecommerce,Official AJIO website
https://www.snapdeal.com,SAFE,ecommerce,Official Snapdeal website
https://www.amazon.in/s?k=laptop&ref=nb_sb_noss,SAFE,ecommerce,Legitimate Amazon search-results URL with normal query parameters
https://www.flipkart.com/search?q=mobile,SAFE,ecommerce,Legitimate Flipkart search-results URL with normal query parameters
https://www.thehindu.com,SAFE,news,Official The Hindu news website
https://www.ndtv.com,SAFE,news,Official NDTV news website
https://www.indianexpress.com,SAFE,news,Official Indian Express news website
https://www.pib.gov.in,SAFE,news,Official Press Information Bureau website
https://www.bbc.com/news,SAFE,news,Official BBC News website
https://www.who.int,SAFE,news,Official World Health Organization website
https://www.un.org,SAFE,news,Official United Nations website
https://www.wikipedia.org,SAFE,general,Well-known reference website
https://en.wikipedia.org/wiki/Phishing,SAFE,general,Legitimate Wikipedia article URL with a normal descriptive path
https://www.google.com,SAFE,general,Well-known search engine homepage
https://mail.google.com,SAFE,general,Legitimate Gmail subdomain of a well-known provider
https://accounts.google.com/signin,SAFE,general,Legitimate Google account sign-in subdomain
https://docs.google.com/document/d/example123,SAFE,general,Legitimate long-form Google Docs style URL
https://www.microsoft.com,SAFE,general,Official Microsoft website
https://www.linkedin.com,SAFE,general,Well-known professional networking website
https://github.com,SAFE,general,Well-known code hosting platform
